PMID,Toxicant,Year,Group,Paper_Title,New_Category
40717816,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,"Simple, sensitive and specific detection method for polystyrene nanoplastics in food matrix based on peptide-modified Fe<sub>3</sub>O<sub>4</sub>@Au magnetic nanoparticles.",analytical_methods
40652853,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,"Sensitive detection of PET and PP nanoplastics in tea beverages using gold nanorod-enhanced SERS: Mechanism, quantification, and safety implications.",analytical_methods
40587423,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Multimodal Analysis of Microplastics in Drinking Water using a Silicon Nanomembrane Analysis Pipeline.,analytical_methods
40255683,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Cell-free biosensor with automated acoustic liquid handling for rapid and scalable characterization of cellobiohydrolases on microcrystalline cellulose.,analytical_methods
40096217,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Flow Raman Spectroscopy for the Detection and Identification of Small Microplastics.,analytical_methods
39622118,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Screening method for differentiation of plastic and non-plastic microparticles contaminating store-bought rice.,analytical_methods
39579227,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Detection of micro- and nanoplastic particles in leafy green vegetables by SERS coupled with gold-silver core-shell nanoparticles.,analytical_methods
39566689,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,"Quantification of polystyrene microplastics in water, milk, and coffee using thermogravimetry coupled with Fourier transform infrared spectroscopy (TGA-FTIR).",analytical_methods
39274843,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Methodology Approach for Microplastics Isolation from Samples Containing Sucrose.,analytical_methods
39137452,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Preliminary characterization of microplastics in beef hamburgers.,analytical_methods
39067298,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Screening of optimal cleaning methods to reduce microplastic residues on strawberry surfaces: Characterization of microplastics in strawberry wash water.,analytical_methods
38883588,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Set up and validation of a method to analyse microplastics in stool and small intestine samples.,analytical_methods
38810455,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Microscopic Raman-based rapid detection of submicron/nano polypropylene plastics in tea and tea beverages.,analytical_methods
38608944,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Characterization of microplastics in skim-milk powders.,analytical_methods
38599449,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Electrochemically microplastic detection using chitosan-magnesium oxide nanosheet.,analytical_methods
38522493,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Characterization of the intestinal transport mechanism of polystyrene microplastics (MPs) and the potential inhibitory effect of green tea extracts on MPs intestinal absorption.,analytical_methods
