PMID,Toxicant,Year,Group,Paper_Title,New_Category
40989096,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Enhancement of polylactic acid-based electrospun films via sugarcane bagasse nanocellulose and paeonol for sustainable preservation of red grapes.,biological_effects
40819405,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Ecological risk assessment of PBAT/PLA mulch-derived microplastics on vegetable growth using a species sensitivity distribution approach.,biological_effects
39984018,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Polyethylene terephthalate (PET) nanoparticles and the physiological effect on intestinal tissue contraction. Ex-vivo approaches.,biological_effects
39827551,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,"Spotlight on the long-term effects of micro/nanoplastics exposure on Spirulina platensis: Algal cells, extracellular polymeric substances, and phycocyanin.",biological_effects
39791745,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,New Insights in Microplastic Cellular Uptake Through a Cell-Based Organotypic Rainbow-Trout (<i>Oncorhynchus mykiss</i>) Intestinal Platform.,biological_effects
39756708,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,"Seed priming with alpha-tocopherol alleviates microplastic stress in Brassica rapa through modulations in morphological, physiological and biochemical attributes.",biological_effects
39644853,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Polystyrene nanoplastics sequester the toxicity mitigating potential of probiotics by altering gut microbiota in grass carp (Ctenopharyngodon idella).,biological_effects
39322002,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Biotoxicity of silver nanoparticles complicated by the co-existence of micro-/nano-plastics.,biological_effects
39208724,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Metabolic profiles and protein expression responses of Pacific oyster (Crassostrea gigas) to polystyrene microplastic stress.,biological_effects
39094999,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Microplastic accumulation and oxidative stress in sweet pepper (Capsicum annuum Linn.): Role of the size effect.,biological_effects
39064711,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Oral Exposure to Microplastics Affects the Neurochemical Plasticity of Reactive Neurons in the Porcine Jejunum.,biological_effects
38891500,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Blends of Carboxymethyl Cellulose and Cottonseed Protein as Biodegradable Films.,biological_effects
38311080,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Differences in toxicity induced by the various polymer types of nanoplastics on HepG2 cells.,biological_effects
38250811,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Adsorption of copper by naturally and artificially aged polystyrene microplastics and subsequent release in simulated gastrointestinal fluid.,biological_effects
38135073,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Size-dependent toxicity of polystyrene microplastics on the gastrointestinal tract: Oxidative stress related-DNA damage and potential carcinogenicity.,biological_effects
38129015,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Endoplasmic reticulum stress exacerbates microplastics-induced toxicity in animal cells.,biological_effects
37783358,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Determination of no observable effect level of nanoplastics on intestinal flora.,biological_effects
37722423,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Transcriptomic mechanism for foliar applied nano-ZnO alleviating phytotoxicity of nanoplastics in corn (Zea mays L.) plants.,biological_effects
37716692,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,"Cellular and bioenergetic effects of polystyrene microplastic in function of cell type, differentiation status and post-exposure time.",biological_effects
37694640,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,[Effects of Combined Pollution of Microplastics and Lead on Maize Seed Germination and Growth].,biological_effects
37567104,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Disrupted intestinal mucosal barrier mediated by alcohol consumption aggravates systemic microplastic accumulation.,biological_effects
37512356,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Lipid Corona Formation on Micro- and Nanoplastic Particles Modulates Uptake and Toxicity in A549 Cells.,biological_effects
37251378,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,The internal dose makes the poison: higher internalization of polystyrene particles induce increased perturbation of macrophages.,biological_effects
37003216,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Brassinosteroids alleviate nanoplastic toxicity in edible plants by activating antioxidant defense systems and suppressing nanoplastic uptake.,biological_effects
36798997,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,No Effect of Realistic Microplastic Exposure on Growth and Development of Wild-caught Culex (Diptera: Culicidae) Mosquitoes.,biological_effects
36508836,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Polystyrene nanoplastics promote the apoptosis in Caco-2 cells induced by okadaic acid more than microplastics.,biological_effects
36464069,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Cellular response of THP-1 macrophages to polystyrene microplastics exposure.,biological_effects
35957130,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Fabrication of Nylon-6 and Nylon-11 Nanoplastics and Evaluation in Mammalian Cells.,biological_effects
35875006,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Genotoxicity of Particles From Grinded Plastic Items in Caco-2 and HepG2 Cells.,biological_effects
34864099,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Combined effects of degradable film fragments and micro/nanoplastics on growth of wheat seedling and rhizosphere microbes.,biological_effects
34600215,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Stress response to oxytetracycline and microplastic-polyethylene in wheat (Triticum aestivum L.) during seed germination and seedling growth stages.,biological_effects
