PMID,Toxicant,Year,Group,Paper_Title,New_Category
41045655,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Microplastic residue in recycled food co-products from mechanical depacking systems: a simulation study for animal food.,food_contamination
40668444,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Effects of Microplastic on Rice Seed Germination Mitigated by Brassinolide.,food_contamination
40640169,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Assessing microplastic contamination in milk and dairy products.,food_contamination
40586439,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,A layer-by-layer assembled superhydrophobic composite aerogel for rapid and high-capacity removal of microplastics from beverages.,food_contamination
40583103,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,"Microplastics in solar salt: baseline contamination assessment from Goa, India.",food_contamination
40580402,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Are we eating microplastics with our staple food? A pioneering study of microplastic contamination in store-bought rice and cooked rice in Bangladesh.,food_contamination
40505604,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Micro- and nanoplastic size affects uptake and digestive tract region residence time in black soldier fly larvae during food waste bioconversion.,food_contamination
40500668,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Airborne microplastics in leaves and food safety risks.,food_contamination
40466378,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Hidden risk of microplastics in milk tea and coffee: A case study from China's freshly-made beverage market.,food_contamination
40403609,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Man-made polymers of natural compounds out weight microplastics in Australian seafood: Are we fixating on the wrong thing?,food_contamination
40152942,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Study of fibrous microplastic and natural microfiber levels in branded milk samples from Italy.,food_contamination
39896838,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Degradable poly(β-amino ester) microparticles for cleansing products and food fortification.,food_contamination
