PMID,Toxicant,Year,Group,Paper_Title,New_Category
41084274,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Release of Nanoplastics from Polypropylene Food Containers into Hot and Cold Water.,packaging_release
40961595,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,First assessment of microplastic exposure from heated liquid herbal medicine: Packaging breakdown and ingestion risk.,packaging_release
40959730,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Detection of microplastic release into water from plastic containers based on lensless digital holography.,packaging_release
40049044,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Toxicity enhancement of microplastics released from food containers through thermal aging: Absorbing more serum proteins thus activating the innate immune response via actin polymerization.,packaging_release
39933459,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Subcellular toxicity assessments of microplastics released from food containers.,packaging_release
38908597,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Microplastics or micro-bioplastics released by wrinkling paper cup.,packaging_release
38790864,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Microplastic Release from Single-Use Plastic Beverage Cups.,packaging_release
37984146,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Nanoplastics from disposable paper cups and microwavable food containers.,packaging_release
37697629,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,"In Situ Fermentation of an Ultra-Strong, Microplastic-Free, and Biodegradable Multilayer Bacterial Cellulose Film for Food Packaging.",packaging_release
37487270,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Quantitative image analysis of microplastics in bottled water using artificial intelligence.,packaging_release
37305459,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Quantitative analysis of polystyrene microplastic and styrene monomer released from plastic food containers.,packaging_release
37060672,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Risk assessment of silver and microplastics release from antibacterial food containers under conventional use and microwave heating.,packaging_release
36640991,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Drinking hot beverages from paper cups: Lifetime intake of microplastics.,packaging_release
36572298,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Quantification analysis of microplastics released from disposable polystyrene tableware with fluorescent polymer staining.,packaging_release
36548595,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Microplastics in Widely Used Polypropylene-Made Food Containers.,packaging_release
36538705,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Analysis of microplastics released from plastic take-out food containers based on thermal properties and morphology study.,packaging_release
36154857,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Microplastics in take-out food: Are we over taking it?,packaging_release
34785231,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Disposable plastic materials release microplastics and harmful substances in hot water.,packaging_release
34771207,microplastic food,2021,(1)major_food_toxicants_CLEAN.csv,Modification of Poly(lactic acid) by the Plasticization for Application in the Packaging Industry.,packaging_release
