PMID,Toxicant,Year,Group,Paper_Title,New_Category
40744433,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Exploring the role of real food matrices on the behavior and toxicity of polystyrene nanoplastics during digestion simulation.,processing_effects
40473138,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Biochar alleviates adverse effects of polystyrene microplastics on anaerobic digestion performance of food waste and antibiotic resistance gene propagation.,processing_effects
40426307,microplastic food,2025,(1)major_food_toxicants_CLEAN.csv,Effect of Microplastic Contamination on In Vitro Ruminal Fermentation and Feed Degradability.,processing_effects
39593329,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Microplastics interactions and transformations during in vitro digestion with milk.,processing_effects
39260594,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,What if you eat nanoplastics? Simulating nanoplastics fate during gastrointestinal digestion.,processing_effects
38649036,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Advanced optical photothermal infrared spectroscopy for comprehensive characterization of microplastics from intravenous fluid delivery systems.,processing_effects
38432360,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Baking releases microplastics from polyethylene terephthalate bakeware as detected by optical photothermal infrared and quantum cascade laser infrared.,processing_effects
38142652,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Thermal aging of polystyrene microplastics within mussels (Mytilus coruscus) under boiling and drying processing.,processing_effects
38030012,microplastic food,2024,(1)major_food_toxicants_CLEAN.csv,Comparison of three digestion methods for microplastic extraction from aquaculture feeds.,processing_effects
37549707,microplastic food,2023,(1)major_food_toxicants_CLEAN.csv,Simulated gastrointestinal digestion of polylactic acid (PLA) biodegradable microplastics and their interaction with the gut microbiota.,processing_effects
36398752,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Thermal processing implications on microplastics in rainbow trout fillet.,processing_effects
35803187,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,"Size-dependent effects of polystyrene microplastics on anaerobic digestion performance of food waste: Focusing on oxidative stress, microbial community, key metabolic functions.",processing_effects
35764284,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Methanosarcina thermophila bioaugmentation and its synergy with biochar growth support particles versus polypropylene microplastics in thermophilic food waste anaerobic digestion.,processing_effects
35398128,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,"Fate of polylactic acid microplastics during anaerobic digestion of kitchen waste: Insights on property changes, released dissolved organic matters, and biofilm formation.",processing_effects
34610428,microplastic food,2022,(1)major_food_toxicants_CLEAN.csv,Fate of a biobased polymer via high-solid anaerobic co-digestion with food waste and following aerobic treatment: Insights on changes of polymer physicochemical properties and the role of microbial and fungal communities.,processing_effects
